,User,Data Created,Number of Likes,Source of Tweet,Tweet
10,0nyxfyr3,2023-01-17 23:40:09+00:00,0,Twitter for Android,"Me being depressed is also why I haven't been here an insane amount btw. I might end up being more active when I'm in a better way mentally, which won't happen till I am financially."
11,psychmeupp,2023-01-17 23:38:41+00:00,6,Twitter for iPhone,i am not depressed or burned out but a secret third thing
12,piscesphobic,2023-01-17 23:37:40+00:00,2,Twitter for iPhone,I am depressed
13,10Xsm2,2023-01-17 23:36:08+00:00,0,Twitter for iPhone,Khayfa admn cutting my hair whenever I am depressed 🙆🏼‍♀️
14,midoshino_bot,2023-01-17 23:34:02+00:00,0,twittbot.net,"I, as well, shall work harder than before.

So that Midori-kun shall no longer feel the need to say things such as ""I am depressed"" or ""I want to die"" ever again... I shall become stronger and protect this peace."
15,ExpertGmb,2023-01-17 23:28:59+00:00,0,IFTTT,"Stop being depressed of bad reviews, I am here to save your business

#badreviews #googlereviews #gmbreviews #gmb https://t.co/RHgXIMxkAR https://t.co/cir1E3HJaX"
16,myrxaa,2023-01-17 23:25:34+00:00,1,Twitter for iPhone,Me texting about how depressed I am to a friend but adding “haha” at the end to lighten the mood. 🙂
17,Taylorrrz,2023-01-17 23:24:05+00:00,0,Twitter for iPhone,"I am so fucking depressed lol I gotta find a job by next week. I really don’t think I’ll get the open position that I was told to apply for. 
Reality is setting in, and it’s not fun. 🥲"
18,BlackCalcite3,2023-01-17 23:22:07+00:00,3,Twitter for iPad,@theearthyvirgo Extremely depressed…cannot stop crying after all the shit I’ve been through this month alone. I am terrified and alone. Omg.
19,Bitch5ad,2023-01-17 23:20:41+00:00,0,Twitter for Android,...and i cant explain to her how jealous i am of her for the days she wod prefer to put behind her... i just cant be fully honest with her... idk if i ever will be...
20,gdeltz,2023-01-17 23:20:32+00:00,0,Twitter for iPhone,Can’t decide if I’m depressed or happy… I am dappy
21,mikerotchh69,2023-01-17 23:19:45+00:00,2,Twitter for iPhone,after a long hiatus due to being busy and depressed i am back to working on new collages
22,Moneybaglives,2023-01-17 23:18:19+00:00,218,Hypefury,"I've been broke.

I've been overweight.

I've been depressed.

But not once did I ever use those things as an excuse not to become who I am today.

I used them as FUEL"
23,Kanii004,2023-01-17 23:15:21+00:00,2,Twitter for iPhone,I deleted tiktok bc i am wasting my time and it makes me more depressed👍 but idk i feel like i have nothing else do to and i am still wasting my time
24,Urchmoney001,2023-01-17 23:14:57+00:00,1,Twitter for Android,"@vhic_tore Because I am depressed,can't find my peace ☮️"
25,Iamdepr47974144,2023-01-17 23:13:51+00:00,0,"Cheap Bots, Done Quick!",I  think I'm just a bother to everyone. I'll kill myself . #depression @Imheret45140132
26,taurass97,2023-01-17 23:12:15+00:00,0,Twitter for iPhone,"The Smiths are for depressed bitches finding joy and a melody in the fact that they’re not alone in this sad world 

i am bitches"
27,amerasuu,2023-01-17 23:11:52+00:00,0,Twitter for Android,"Hello, I am depressed lately."
28,DepressedDETN,2023-01-17 23:10:51+00:00,45,Twitter for iPhone,"I had a fairly decent day but for some reason I feel an immense wave of sadness and dread coming so I am going to close the app for the night.

 Y’all be safe plz ❤️"
29,lawrenalxndria,2023-01-17 23:09:05+00:00,4,Twitter for iPhone,I am so utterly depressed I wanna run away Lmao
30,SeanMBurns,2023-01-17 23:06:24+00:00,20,Twitter for iPhone,"My favorite Wong Kar Wai movie, depending on how depressed I am. https://t.co/pjofvuv8kP"
31,ImproperDepress,2023-01-17 23:05:25+00:00,7,Twitter for Android,"@IzzysNplPiercin @fabuLizSup some might say I'm full of spite, nipple, but that is actually false

full of soup that's what I am

izzy soup"
32,Blue_Raptor_07,2023-01-17 23:04:52+00:00,6,Twitter for Android,"Rocket has been an incredible source of comfort for me, he is someone with whom I identify a lot and whenever he appears in a Marvel series or movie he makes me smile when I am depressed, it is very difficult to explain why he is so special to me,"
33,iamlovelydes,2023-01-17 23:02:50+00:00,0,Twitter for iPhone,"Im ADDICTED TO HUSTLING. I get depressed when I feel like I am not being productive.

Happy Money Making Money 🙌🏾 Start your week off with a positive attitude."
34,KavaniHelper,2023-01-17 23:01:16+00:00,1,Twitter for Android,@RVCJ_FB rn u won't believe I am sitting is my study table and tweeting how depressed I am..11th standard student but still can't understand why my scores not comming.. Mere dosto ka acche marks aya bus mujhe chord kar.. Ankhe bandh krta hu to sab mujhpe has raha hai aisa tasveer ata hai
35,ReallyRobinR76,2023-01-17 22:58:56+00:00,0,Twitter for iPhone,The U.S. Justice Department employees are depressed I am moving over seas so they purposefully neglected to return Im owed. They were depressed I have 💰👑 they constantly caught stealing. They sit around with my 💰illegally as if we can’t prove they are depressed cases insanity
36,bigbabyybear,2023-01-17 22:54:07+00:00,0,Twitter for iPhone,I am extremely depressed and it is showing up as irritation
37,imreallygay208,2023-01-17 22:43:48+00:00,0,Twitter for iPhone,@jvckk See i would answer yes but given i am also depressed it prob wont help
38,IamCRMadden,2023-01-17 22:36:26+00:00,0,Twitter for iPhone,@Captaincoby00 I just read this. It’s Tuesday. I am now depressed.
39,GarySonnyChiba,2023-01-17 22:33:20+00:00,0,Twitter Web App,"I Pray for everyone today who is Oppressed, Depressed and Attacked by Satan &amp; his demons. I command the devil to take his hands off you and everything that belongs to you, including your Family. In the Mighty Name of Jesus, in whose I am and in whom I serve. A Miracle for you. 🔥 https://t.co/dbF7k5pfA4"
40,LittleOreo25,2023-01-17 22:33:13+00:00,5,Twitter for Android,@AyoItsKMO @Dexerto OK I am a little depressed https://t.co/OhfcjxtCvt
41,aIissonstacy,2023-01-17 22:31:58+00:00,0,Twitter for iPhone,my bestie mechanic moved dealerships i am depressed
42,ImproperDepress,2023-01-17 22:28:45+00:00,4,Twitter for Android,@fabuLizSup not even i am immune to stizzy pinning ...
43,abria_chiann,2023-01-17 22:28:32+00:00,1,Twitter for iPhone,Im ADDICTED TO HUSTLING. I get depressed when I feel like I am not being productive
44,meliatheninth,2023-01-17 22:27:37+00:00,1,Twitter for Android,I have finally learned (after 20 years of friendship) to officially ignore the voice that tells me not to have my scheduled call with my best friend because I am depressed/in pain/having a bad time &amp; have it anyway because I am always so so so happy after it. She's the best.
45,IsabellaRosner,2023-01-17 22:19:26+00:00,1,Twitter for iPhone,@LucieWhitmore The speed with which I am downloading Sentimental Garbage right now! I also love the Moth and 99 Percent Invisible! The latter is the pod I listened to when I’m depressed lol (I have no idea why)
46,ENKI__ENLIL,2023-01-17 22:16:58+00:00,0,Twitter for Android,@hrh_markintosh @maryjane7158 You want her to remain depressed?
47,Depressed_Ape,2023-01-17 22:16:43+00:00,0,Twitter Web App,@SweatieAngle I tell them my height in centimeters so they don't laugh in my face and use my head as a footstool. I dress and look like a Keebler Elf but that doesn't mean I am one. Sure I live in a tree and bake delicious treats and sing merry songs while doing it... IT'S A FAMILY TRADITION!
48,iAm_Vinee,2023-01-17 22:16:19+00:00,2,Twitter Web App,"If you truly know God, you won't be depressed"
49,Mrunhappy16,2023-01-17 22:15:42+00:00,0,Twitter for iPhone,@elonmusk will you please just answer my challenge… can money buy happiness. Even if you are the most depressed person in the world bc I am… and I want to know if money can fix what’s wrong with me.
50,innercitypress,2023-01-17 22:14:08+00:00,6,Twitter Web App,"Victim: I am depressed after three hours of listening to this, about amounts absconded with. But it's about the abuse of trust. Derek is smooth, he's slick, he's charismatic. I was told they had a golf course that sold by $7 million - I was told by Derek Jones"
51,Iamdepr47974144,2023-01-17 22:13:47+00:00,0,"Cheap Bots, Done Quick!",I  think I'm just a bother to everyone. so I'll just end it . #depression @Imheret45140132
52,killianodris,2023-01-17 22:11:36+00:00,3,Twitter for iPhone,"If I see one more “✨you might like” that is a tweet saying something like “if you’re depressed read this thread”, I am going to kms and it will all be Elon Musks fault."
53,Violentineztea,2023-01-17 22:11:12+00:00,4,Twitter for Android,Since the start of the year I have been more active on instagram and I am kind of happy about it somehow while in the past I made my kind of depressed
54,DanielZ84389725,2023-01-17 22:08:07+00:00,2,Twitter for iPhone,@100trillionUSD I don’t trust anything and I was somewhat depressed for a few months so I am probably in disbelief right now. Good thing I didn’t sell shit and bought even more 😉
55,ScrunchieSlayer,2023-01-17 22:01:14+00:00,1,Twitter for Android,I am so depressed I really don't know how I'm going to make it through this semester.
56,Heidelberggirl,2023-01-17 21:56:29+00:00,0,Twitter for iPhone,"@elonmusk Why does Instagram make people depressed? I glance at it upon occasion and look at the dog and cat antics. It gives me a Lift. Granted, I am afraid many of the pet owners mistreat their animals in an attempt to solicit more likes."
57,ctilleyy,2023-01-17 21:54:20+00:00,1,Twitter for iPhone,"classes are great, in an honors program now, and im starting a paid research position but i am still depressed aha academia overachieving is not doing it for me 🙏"
58,_lady_random,2023-01-17 21:54:19+00:00,1,Twitter Web App,I thought and now I am depressed
59,sunofabull,2023-01-17 21:51:24+00:00,0,Twitter for iPad,depressed thinking how i dnt ever wan b in a relationship and knowing how stubborn i am and will fall through w such bs
60,taylor_luvr_69,2023-01-17 21:44:28+00:00,0,Twitter for iPhone,i am so depressed watching them bully aslan thats so rude
61,bunsprinkls,2023-01-17 21:41:40+00:00,1,Twitter for iPhone,im the weirdest depressed person. othr ppl at their lowest don’t shower for weeks meanwhile no matter how shit i am i will shower n scrub myself like it will fix me (it nwver does) (the filth never goes away)
62,Totally_Legit_T,2023-01-17 21:41:05+00:00,0,Twitter for iPhone,"@KingDavidQPS You dont understand burden of evidence…YOU made the claims. YOU have to prove it. Unless you cant…which is normal for quacks.
I dont really watch porn. I am depressed and my antidepressants make me impotent. I havent been horny in years."
63,SydneyAngelaa,2023-01-17 21:39:04+00:00,8,Twitter for iPhone,I am depressed bye
64,_lezhd,2023-01-17 21:38:23+00:00,0,Twitter for iPhone,I am so happy I was literally only. depressed.
65,ItsJustAntNow,2023-01-17 21:26:25+00:00,0,Twitter Web App,@SynicalCOD this fact was not fun now i am depressed
66,SnowyFoxxie,2023-01-17 21:24:26+00:00,8,Twitter for iPhone,"@tentisquid Bro have you seen how bad I am at drawing, when I try and draw my OCs I get depressed 😭😭"
67,KellyGrossberg,2023-01-17 21:22:25+00:00,1,Twitter for iPhone,@lolaplease__ 😩 I am living vicariously through youuuuuuuuuu
68,LongrichMiner,2023-01-17 21:15:03+00:00,0,Twitter for Android,@sexy_gravy I am so tired and depressed
69,Iamdepr47974144,2023-01-17 21:14:03+00:00,0,"Cheap Bots, Done Quick!",I  feel so lonely. I'm going to hurt someone . #anxiety @Imheret45140132
70,the_rueverse,2023-01-17 21:06:17+00:00,0,"Cheap Bots, Done Quick!","nope! we can talk, sorry, I am no longer depressed don’t  even worry."
71,atrueduelist,2023-01-17 20:59:13+00:00,0,Twitter Web App,"debated going out today but i am so eepy and depressed, so i guess not now"
72,mohd7886,2023-01-17 20:58:42+00:00,0,Twitter for Android,But no one listens me . I am depressed for family problem i ask him sir plzz i want to go i can't eat today any thing please sir.he ask me give prevous fine its 12000.i ask him sir i pay everything sir plzzz i have 1000rs in my bank i give you sir i am hungry and i am in problem
73,navidnir,2023-01-17 20:48:51+00:00,0,Twitter for Android,Only Allah knows how much depressed I am &lt;3
74,tumbleweedparty,2023-01-17 20:45:22+00:00,0,Twitter for iPhone,Does anyone else have a separate pair of ugly glasses that you only wear when you’re crabby or depressed because I do and I am wearing them at work today https://t.co/DEFu1IdyVs
75,Alison7613,2023-01-17 20:45:11+00:00,0,Twitter Web App,America was a great experiment. We had a good run. #GOP Nightmare #QAnon I don't know how we got this far off course. Scholars will write about it for decades. How #America completely failed. Someone tell me I am just depressed. Give me hope.
76,WednesdayEra_,2023-01-17 20:43:36+00:00,0,Twitter for iPhone,Miss thing this moment was so pussy I am obsessed @ZZAVID1 😭😭 https://t.co/7IvDnXmZYO
77,itz_arbdul,2023-01-17 20:42:03+00:00,1,Twitter for iPhone,“I AM ADDICTED TO HUSTLING. I get depressed when I feel like I am not being productive.
78,83cents,2023-01-17 20:40:12+00:00,0,Twitter for iPhone,I told this one girl in HS that being depressed is not just feeling sad but it’s like a sense of dread and hopelessness and she said “anybody can be sad but I am different” and this is why mental illnesses are not taken seriously because everyone want to be unique/different
79,_blind_devil_,2023-01-17 20:35:01+00:00,0,Twitter for Android,"Feeling very ~depressed~

I should probably start taking my meds again because I am being held together by 3 songs, fanfic, and a dream"
80,Shannon5200208,2023-01-17 20:31:38+00:00,0,Twitter for iPhone,"@nonviolentfem It’s hard to stand in the face of evil. But I remember  I am pro-life because of love, hope, joy and compassion. I remember women who have made the choice to abort, they heartbroken. I remember the depressed angry hopeless pro-abort I used to be. I needed the truth in love. LOVE"
81,tahkahseh,2023-01-17 20:31:05+00:00,6,Twitter for iPhone,"I be depressed af and then put on chance the rappers Coloring Book, look out the window at the sunshine and think how lucky I am to be alive. What even"
82,kkiwibin,2023-01-17 20:29:20+00:00,1,Twitter Web App,"sorry i am not answering dms today, i'm feeling very depressed and upset and i need my moment alone to myself :)"
83,nicolemariiexo,2023-01-17 20:23:57+00:00,2,Twitter for iPhone,"I literally sat in my car and cried today about how depressed I am with money, I am stuck in a hole I can’t get out of and it literally is killing me."
84,OverdoseFactory,2023-01-17 20:22:25+00:00,1,Twitter for iPhone,Today I am going to put my mental health first and be depressed for a lil bit. Ok cool Good talk
85,MWilsonKimber,2023-01-17 20:21:35+00:00,3,Twitter Web App,@violanorth I am now super depressed. Please show a dessert.
86,nipo_site,2023-01-17 20:19:24+00:00,0,Twitter for iPhone,Kweli Nairobi ni supermarket 😅😅#NairobiFestival #SuperGonorrhea https://t.co/ZP1BpUFYJw
87,Ariadne_Reviews,2023-01-17 20:16:58+00:00,26,Twitter Web App,I am in love with the incredibly depressed owl #Winterwatch https://t.co/2iWscIb2Zj
88,LegendOfCotton,2023-01-17 20:16:46+00:00,5,Twitter for iPhone,I am now depressed
89,mattsemotional,2023-01-17 20:14:10+00:00,0,"Cheap Bots, Done Quick!",I am Depressed tweet
90,Iamdepr47974144,2023-01-17 20:13:49+00:00,0,"Cheap Bots, Done Quick!",I  hate everyone here. so I'll just end it . #depression @Imheret45140132
91,deadvotion,2023-01-17 20:12:42+00:00,0,Twitter for iPhone,imma go sleep. i am so depressed
92,loquitalolita_,2023-01-17 20:12:41+00:00,1,Twitter for iPhone,I was so depressed that I didn’t realize how big being a Utah representative for the international association for public engagement is. So here I am showing off. Thank you.
93,NFTipi,2023-01-17 20:11:59+00:00,1,Twitter for iPhone,@ExpressionsMkt thank you!! i am a morning person! where i live faces east which means i happily bought my home here to have the sunrise over the water. i have a million sunrise photos lol i actually find sunsets depress me! is that strange? i love the start of a new day! ✨
94,my_chappie,2023-01-17 20:10:06+00:00,33,Twitter Web App,"this account is turning 11 years old next month

good lord i am getting old https://t.co/rOuntuadmT"
95,PapiHustle,2023-01-17 20:08:30+00:00,1,Twitter Web App,"I'm not *depressed* necessarily, but I *am* studying statistical mechanics"
96,deep_sayings01,2023-01-17 20:02:52+00:00,1,Twitter for iPhone,I AM ADDICTED TO HUSTLING. I get depressed when I feel like I am not being productive.
97,BransonUS,2023-01-17 20:01:13+00:00,0,Twitter for iPhone,I am going to be depressed for at least a week 🥲😭
98,bussybopper69,2023-01-17 19:56:30+00:00,2,Twitter for iPad,"i am so depressed that i have absolutely no access to downloading twst bc british, unemployed 16 year old so no vpn and every other method hasn’t worked 💔💔 birthday malleus you will be mine in my dreams"
99,Zigidaddy1,2023-01-17 19:54:37+00:00,0,Twitter for Android,"I am so depressed,,I need help"
100,nativebella,2023-01-17 19:52:40+00:00,2,Twitter for iPhone,"I had an appointment with my doctor today on my lunch break. She asked me a question I couldn’t answer… Am I feeling overly tried because of life and just needing more/better rest, or am I tired because I am depressed?
To find the answer we’re going to monitor my symptoms. 🫥"
101,amazingbrookie,2023-01-17 19:45:41+00:00,1,Twitter Web App,@NightmareAlt_ @starzforTaylor @dnfsheatwaves_ @nattysmcyt @seducirs @gibbety_dolphin @night_manatreed @ddnferr @jjthebeloved @lightxelyph @dtqksfavJack im ur sexy ex ofc i am but im so low down on this love you list... makes me depressed tbh
102,caitssunset,2023-01-17 19:45:00+00:00,5,Twitter for iPhone,i forgot to take my ashwanganda for 2 days and now i am depressed again
103,lumpthought,2023-01-17 19:39:33+00:00,9,Twitter for iPhone,"me in bed depressed for a week: i am nothing, worthless, the bottom of the barrel 

me on coffee: *does laundry* ha! i did it! i am so powerful. when i get my shit together its over for you bitches. i am a dark horse!!"
104,SecretKeeping_C,2023-01-17 19:29:14+00:00,0,Twitter for iPhone,"Some people gonna think I’m depressed 
Well I am but still Yk 😅"
105,Writingthewaves,2023-01-17 19:27:19+00:00,1,Twitter for iPhone,I am depressed and finally on lunch. So what do I do? Create a media kit. Check out this Beacons page! - https://t.co/pHz9zWNlmF
106,suaspiria,2023-01-17 19:27:05+00:00,0,Twitter for iPhone,y’all i am so depressed
107,ItaloNassau,2023-01-17 19:22:55+00:00,0,Twitter Web App,@Knutspild Im not have a anime picture in my profile... I am depress but I am not! 😐
108,Spooky_Forrest,2023-01-17 19:20:49+00:00,2,Twitter Web App,"I am depressed today!

Send me funny memes please"
109,vnsianevaeh,2023-01-17 19:18:25+00:00,1,Twitter for iPhone,"and yeah… I am hopeless romantic and a little bit depressed, and I got anxious all the time."
110,datsriley,2023-01-17 19:16:17+00:00,0,Twitter for iPhone,"@trevorplouffe @TalkinBaseball_ Spitting facts Trev.  As a Reds fan,  I am pretty scared.  And also depressed."
111,caesaravgvstus,2023-01-17 19:14:51+00:00,0,Twitter for Android,"@Imsibob @GarethDaviesVoC That's like saying you need a medical diagnosis to be depressed. You know what you say to the doctor? ""I am trans."" And they're like, ""Okay."" Because it's a subjective thing. The main gender clinic everyone has to go through has a waiting list of 19 years, anyway."
112,Iamdepr47974144,2023-01-17 19:13:37+00:00,0,"Cheap Bots, Done Quick!",I  can't see any reason to keep going on. I'll kill myself . #depression @Imheret45140132
113,mrpeanutbot_en,2023-01-17 19:11:27+00:00,0,"Cheap Bots, Done Quick!","I gotta say, I am having the time of my life being depressed!"
114,Michael87452445,2023-01-17 19:04:53+00:00,0,Twitter Web App,@HeresCircusBaby your cohost is depressed about losing his Twitter account and i am worried about freddy
115,TheDukeOK,2023-01-17 19:03:57+00:00,8,Twitter for Android,@UltimaShadowX @MBTYuGiOh Me running 4+ unusable garnets because they make different fusion bosses (I am depressed and MUST draw REF)
116,Michael87452445,2023-01-17 19:03:28+00:00,0,Twitter Web App,@FreddyyFazbear freddy your brother is very depressed and i am worried about your brother
117,prettyassyass,2023-01-17 18:55:55+00:00,0,Twitter for iPhone,Idc how depressed I am I’m getting in the shower
118,ImmixMatthew,2023-01-17 18:54:11+00:00,0,Twitter Web App,"@TalkTV 
If I were with you. I’d say to Dr David, most depressed people fixate on things they can not possibly change. I AM SPEAKING FROM EXPERIENCE."
119,BasedPattelarV2,2023-01-17 18:52:58+00:00,0,Twitter for iPhone,@bacterriia @liberalpappadam I am not justifying that ria. I won’t rape a person or jump of a cliff. But depressed people shouldn’t be near bridges. I hope you understand my analogy
120,Cinass918,2023-01-17 18:49:30+00:00,0,Twitter for Android,"How am I suppose to feel rn. I know my mom is still here and I am making every moment matters but... she's suffering and I know she'll lesve us soon...

I am both depressed and sad... But it is so hard to go see her in pain all the time even with the higher meds... https://t.co/GzdqSEMKiH"
121,ResearchBuffalo,2023-01-17 18:48:03+00:00,0,TweetDeck,"I'm a librarian in a movie. No matter my expertise, all I do is shelve and check out books, which are magically selected, ordered, processed, and cataloged. I am a single female and either dowdy &amp; depressed or porn-star hot. Computers do not exist in my world."
122,toothdoc3,2023-01-17 18:46:10+00:00,1,Twitter for iPhone,"@CoClarified Not a vet but I am a dentist, lol.  You could feel that tissue above the tooth to see if it is depress-able or if any exudate (pus) comes out where the gums meet the tooth.  Also see if the tooth mad any mobility or cracks if the dog will let you look that close."
123,TheYeehawBoah,2023-01-17 18:43:50+00:00,0,"Cheap Bots, Done Quick!",howdy I like to break into exotic dance moves when I am depressed it's kinda fun
124,SnorlaxBabyyy,2023-01-17 18:43:46+00:00,0,Twitter for Android,i am so so genuinely depressed and maybe its because im hungry but maybe its because i am undermedicated 😎
125,asheeraa_,2023-01-17 18:38:35+00:00,0,Twitter for iPhone,HE IS LITERALLY SUNSHINE AND I AM LITERALLY A DEPRESSED DUMBASS (midnight rain)
126,richellelynnn,2023-01-17 18:35:25+00:00,0,Twitter for iPhone,"@caIIumafc i mean i am severely depressed, but this is just wrong.."
127,daedae2lit,2023-01-17 18:34:19+00:00,1,Twitter for iPhone,Im ADDICTED TO HUSTLING. I get depressed when I feel like I am not being productive.
128,iAmTeeWeezie,2023-01-17 18:31:59+00:00,1,Twitter for iPhone,"If you become depressed more than twice per month, please seek help for your mental health. That is not normal nor healthy to your livelihood 

💚"
129,tarramash,2023-01-17 18:29:13+00:00,1,Twitter for iPhone,I am on my period!!! I’m not actually depressed!! Wooohh
130,jeanetteeyyy,2023-01-17 18:26:56+00:00,0,Twitter for Android,"Typically, this weather makes me depressed. But lately I am living for it!! It's so calming. 🥰🌥"
131,_elliececilia,2023-01-17 18:23:16+00:00,0,Twitter Web App,I am worryingly depressed ;PP
132,Mibanti_,2023-01-17 18:20:30+00:00,1,Twitter for iPhone,@victus1996 @Mrklassiq_ I’ve been depressed for awhile but I am okay now. Let me try again
133,sovalyric,2023-01-17 18:19:40+00:00,0,Twitter for iPhone,why even try when i am already insanely depressed n everytime i study i have to find so much motivation to get through it if at the end none of my effort is compensated
134,gailpac67790328,2023-01-17 18:19:14+00:00,0,Twitter Web App,"I am so depressed, even my med are not helping. Could someone send me a happy picture?🥴"
135,amarahanania,2023-01-17 18:18:57+00:00,0,Twitter for Android,I am depress
136,FinnVonFritter,2023-01-17 18:18:12+00:00,0,"Cheap Bots, Done Quick!",Dorothy Gale just cried all over my plum tacos and I am depressed!!!
137,Iamdepr47974144,2023-01-17 18:13:45+00:00,0,"Cheap Bots, Done Quick!",I  feel so lonely. I'm going to hurt someone . #depression @Imheret45140132
138,nana43kg,2023-01-17 18:13:29+00:00,1,Twitter for iPhone,actually yes i am going to take adderall today bc it's been hrs since i toon wellbutrin and i feel depressed still sooooo
139,jooel_io,2023-01-17 18:12:39+00:00,2,Twitter Web App,Some of the time I am very depressed.  Other times I drink my coffee and eat my yogurt with flax seeds and fruit and honey.
140,jomcguire04,2023-01-17 18:12:21+00:00,1,Twitter for iPhone,I am so unbelievably depressed rn
141,JShermanFiction,2023-01-17 18:10:03+00:00,2,Twitter Web App,"More and more, I am depressed by how so many reactors seem to take CLUE so damn seriously. They spend so much time trying to ""beat it"" that they somehow miss the jokes or the fact it's supposed to be a comedy. https://t.co/zStuwP1nr4"
142,practicingmarx,2023-01-17 18:07:01+00:00,0,Twitter for Android,"""often, when others expect to find me depressed by difficult circumstances, and especially by the extreme condition of prison, they see that i look at things in another way. not that i am happy with the suffering; i simply refuse to be defeated by it."""
143,sflore83,2023-01-17 18:06:57+00:00,0,Twitter for iPhone,The fact that I am eating all the time is proof I am not depressed if I was depressed I wouldn’t eat at all…
144,degrawdonut,2023-01-17 18:06:46+00:00,0,Twitter for Android,@bhutta1005 so i am depressed 😔😔😔
145,memestorer,2023-01-17 18:06:05+00:00,0,Twitter for iPhone,are you sure you like me i am literally obsessed with you he hates me anxious insecure attachment insecurity boy girl texting template mental illness mentally ill depressed fighting demons healthy relationship codependent meme reaction doubt care lie fake joke bully fear scared https://t.co/g6iu7IkpSU
146,firstopinion21,2023-01-17 18:03:52+00:00,0,Twitter Web App,"I am bent, but not broken. I am scarred, but not #disfigured. I am sad, but not hopeless. I am tired, but not #powerless. I am angry, but not bitter. I am #depressed, but not giving up.
Sign Up at https://t.co/qCwM6xtgpq
#firstopinion #survey #earnrewards #earnrewards https://t.co/gplOioQXUl"
147,IAmTwesigye,2023-01-17 18:01:22+00:00,0,Twitter for Android,@iamalisha250 And boom ..you get depressed
148,mishmin07,2023-01-17 18:00:07+00:00,0,Twitter Web App,"Lgl,  bruh i am really  depressed,  too much  depressed &amp; weak to work.  But i am trying to running this life somehow coz if not now then never ever i will get the chance again.  But its like i am motivating myself telling myself that +++"
149,LaddGiacomo,2023-01-17 17:58:02+00:00,1,Twitter for Android,"@MAKendallAuthor People say ""I'm happy""
I realise I don't really have a concept of that
I've often been depressed - know exactly what that feels like
But the opposite way - I'm just what I am. Can't say I'm ""happy"" as such"
150,Girlgroupstan16,2023-01-17 17:52:12+00:00,0,Twitter Web App,"As someone who plays guitar for so many years now, I am actually very surprised by how good she is, I really didnt expect her to play so good. And singing very soulfully on top of that, wow"
151,ukiyobean,2023-01-17 17:49:23+00:00,2,Twitter Web App,"woke up at 6 am and gave myself 2 hours to do things and relax before work instead waking up 10 mins before I have to be there 

here to report that I am still depressed and now I'm just more tired"
152,BethsPGCE2021,2023-01-17 17:47:47+00:00,1,Twitter for Android,I've come to the conclusion that I am infact more depressed than I though. I don't see a light out of this hole and I'm scared.
153,Rhymingoz,2023-01-17 17:47:40+00:00,0,Twitter for iPhone,@IAmPoliticsGirl @AntheaButler Brilliant again PG. I am Australian and am depressed watching the U.S. spiral into madness so can only imagine what it is like being there. One thing ALL countries need to do is Audit all people coming into power and then again as they exit. Pretty sure the gravy train is huge
154,MarbleBags,2023-01-17 17:46:02+00:00,3,Twitter for iPhone,I am mega depressed rn
155,Abudris,2023-01-17 17:43:00+00:00,0,Twitter for iPhone,When I am anxious it is because I am living in the future. When I am depressed it is because I am living in the past.
156,bbnara4,2023-01-17 17:37:09+00:00,1,Twitter for iPhone,"@sagistarbb This is a super interesting question! Cap 8H, Saturn 1H, Pisces moon in 10H. When I am experiencing PMDD I get really depressed and feel negatively about myself and my future"
157,Here_depressed,2023-01-17 17:34:59+00:00,0,Twitter for Android,"i am too manic to have an Ed, I'm eating an ice cream rn and i love it"
